CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
929625-08-1,"2-(2,2,7,7-Tetramethyltricyclo[6.2.1.01,6]undec-5-en-5-yl)propan-1-ol",Amber,Woody,Cedarwood,2005-09-14,2012-06-06,2457d,BR-PI0616047-A2
154171-76-3,"Spiro[1,3-dioxolane-2,8'(5'H)-[2H-2,4a]methanonaphthalene], hexahydro-1',1',5',5'-
tetramethyl-",Woody,Amber,Cedarwood,2005-09-14,2012-06-06,2457d,EP-1928812-B1
91-50-9,Cyclamen aldehyde-methyl anthranilate (Schiff base),Floral,Muguet,Neroli,2005-09-07,,,CA-2621926-A1
65405-72-3,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate",Woody,Dry,Amber,2005-06-29,2014-03-05,3171d,EP-1897932-A1
916887-53-1,2-Cyclohexylidene-2-o-tolylacetonitrile,Floral,Rose,Powdery,2005-06-16,2011-11-02,2330d,BR-PI0612299-A2
1209-61-6,Dihydroisocaryophyllene epoxide,Woody,Spicy,Tobacco,2005-03-31,,,EP-1707185-A1
811412-48-3,Methyl decenone,Herbal,Green,Watery,2005-02-10,2015-05-20,3751d,EP-1690848-A1
80623-07-0,"Ethyl   (3a.alpha.,4.beta.,7.beta.,7a.alpha.)-Octahydro-4,7-methano-3aH-indene-3a-
carboxylate",Fruity,Sweet,Floral,2004-11-29,2011-03-02,2284d,EP-1661978-A1
68738-99-8,"Methyl 2-[[[2,4(or 3,5)-dimethyl-3-cyclohexen-1-yl]methylene]amino]benzoate",Green,Citrus,Floral,2004-11-29,2011-03-02,2284d,EP-1661978-A1
31996-78-8,"1-Ethyl-3-methoxytricyclo[2.2.1.02,6]heptane",Herbal,Green,Citrus,2004-11-11,2011-06-08,2400d,EP-1812542-A1
13049-88-2,cis-3-Nonenyl acetate,Green,Herbal,Pine,2004-10-27,2011-12-26,2616d,JP-2006124300-A
100520-15-8,"1,3-Cyclohexadiene-1-carboxylic acid, 4,6,6-trimethyl-, ethyl ester",Herbal,Spicy,Saffron,2004-09-14,2010-07-07,2122d,BR-PI0515249-B1
875471-31-1,"2H-Pyran-2-one, tetrahydro-5-pentyl-",Citrus,Verbena,Green,2004-08-06,2010-09-15,2231d,BR-PI0514105-B1
854737-09-0,"2H-Pyran, 3-heptyltetrahydro-",Green,Coriander,Aldehydic,2004-08-06,2010-09-15,2231d,BR-PI0514105-B1
68480-14-8,"1-(3,5,6-Trimethyl-3-cyclohexen-1-yl)ethan-1-one",Green,Floral,Earthy,2004-08-05,2009-10-14,1896d,EP-1776334-A1
873888-84-7,"Benzoic acid, 2-hydroxy-, (3Z)-1-methyl-3-hexen-1-yl ester",Floral,Green,Muguet,2004-07-23,2014-09-03,3694d,BR-PI0513495-B1
68039-38-3,Citronellyl crotonate,Floral,Rose,Citrus,2004-07-09,2011-10-12,2651d,EP-1765139-A1
22030-19-9,beta-Ionyl acetate,Fruity,Raspberry,Violet,2004-07-09,,,EP-1765139-A1
68133-77-7,trans-2-Hexenyl salicylate,Floral,Woody,Balsamic,2004-07-06,2011-10-12,2654d,JP-2006020526-A
67801-65-4,"3,6-Dimethyl-3-cyclohexene-1-carboxaldehyde",Green,Grassy,Citrus,2004-07-06,2014-03-05,3529d,JP-2006020526-A
81786-74-5,"(E)-3,4,5,6,6-Pentamethylhept-3-en-2-one",Woody,Violet,Cedarwood,2004-06-30,2009-10-14,1932d,US-2007298994-A1
131766-73-9,Tetrahydro-4-methyl-2-propyl-2H-pyran-4-yl acetate,Herbal,Sage,Aromatic,2004-04-28,2006-12-19,965d,JP-2005314704-A
67634-20-2,"3a,4,5,6,7,7a-Hexahydro-4,7-methano-1H-inden-5-yl isobutyrate",Fruity,Peach,Pineapple,2004-04-22,2013-06-12,3338d,EP-1737937-A2
